movie_title,imdb_link,imdb_id,watched_date,tagline,plot,runtime,rating,votes,poster_url,genres,release_date
Ferris Bueller's Day Off,http://www.imdb.com/title/tt0091042,tt0091042,01/2010,While the rest of us were just thinking about it...Ferris borrowed a Ferrari and did it...all in a day.,"A high school wise guy is determined to have a day off from school, despite what the principal thinks of that.",6180,7.9,221018,http://ia.media-imdb.com/images/M/MV5BMTg2MTUxODY4NV5BMl5BanBnXkFtZTcwNzQ5NzU2OQ@@._V1_.jpg,Comedy,1986-06-11
The Naked Gun 2½: The Smell of Fear,http://www.imdb.com/title/tt0102510,tt0102510,01/2010,If you see only one movie this year...you ought to get out more often.,Lieutenant Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,5100,6.8,76052,http://ia.media-imdb.com/images/M/MV5BMTIyNTI5NDE1MF5BMl5BanBnXkFtZTYwMDAwMDY5._V1_.jpg,"Comedy, Crime",1991-06-28
Daybreakers,http://www.imdb.com/title/tt0433362,tt0433362,01/2010,"In 2019, the most precious natural resource... is us.","In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind.",5880,6.5,99349,http://ia.media-imdb.com/images/M/MV5BNzg3NDYyMDU4Nl5BMl5BanBnXkFtZTcwODA5NzA5Mg@@._V1_.jpg,"Action, Fantasy, Horror, Sci-Fi, Thriller",2010-01-08
